ret_col,date,sort_col,economic_group,group_label,sort_mean,portfolio_ret,n_funds
future_ret_6m,2008-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8014436005097295,,1
future_ret_6m,2008-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.870088678971012,,1
future_ret_6m,2008-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.935118497788468,,1
future_ret_6m,2008-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.7016866034352733,,2
future_ret_6m,2008-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.7541789809035258,,1
future_ret_6m,2008-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.7584038376383933,,1
future_ret_6m,2008-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.7800296859137321,,1
future_ret_6m,2008-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.8424199821635523,,2
future_ret_6m,2008-09-26 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.7092888662850432,,2
future_ret_6m,2008-09-26 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.7825498497307608,,2
future_ret_6m,2008-09-26 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8252904245758041,,1
future_ret_6m,2008-09-26 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.8589047233499217,,2
future_ret_6m,2008-09-26 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.8943635650579307,,2
future_ret_6m,2008-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.8030067885400264,,3
future_ret_6m,2008-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.8205424693674898,,2
future_ret_6m,2008-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8572781590795673,,3
future_ret_6m,2008-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.8969794543067147,,2
