ret_col,date,sort_col,economic_group,group_label,sort_mean,portfolio_ret,n_funds
future_ret_6m,2019-12-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,5,High,0.9141748764382202,0.2449873948029247,68
future_ret_6m,2020-03-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,1,Low,0.6724251834614036,0.44053377132066657,71
future_ret_6m,2020-03-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,2,Q2,0.7568627915969542,0.4039549296756204,71
future_ret_6m,2020-03-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,3,Q3,0.8142056938348357,0.4127741179116068,71
future_ret_6m,2020-03-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,4,Q4,0.8607801925007666,0.4200850631737554,71
future_ret_6m,2020-03-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,5,High,0.9169878875765908,0.4064637857879944,71
future_ret_6m,2020-06-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,1,Low,0.6290170516620772,0.29319156938276203,75
future_ret_6m,2020-06-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,2,Q2,0.7123003472556041,0.32062340429852204,74
future_ret_6m,2020-06-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,3,Q3,0.7825284114483405,0.28911964843413673,75
future_ret_6m,2020-06-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,4,Q4,0.8493113984130548,0.2921427847280674,74
future_ret_6m,2020-06-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,5,High,0.9075528060858503,0.27378347837136796,75
future_ret_6m,2020-09-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,1,Low,0.6564999890038565,0.102280861853564,80
future_ret_6m,2020-09-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,2,Q2,0.7398554838639981,0.10017293631639664,79
future_ret_6m,2020-09-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,3,Q3,0.7935626526581531,0.10978733175555602,79
future_ret_6m,2020-09-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,4,Q4,0.84194267936667,0.11164344837841825,79
future_ret_6m,2020-09-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,5,High,0.8980457771231094,0.13205305514799667,80
future_ret_6m,2020-12-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,1,Low,0.6555818218764282,0.12615456899889008,88
future_ret_6m,2020-12-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,2,Q2,0.7323322703093008,0.09800134920520595,87
future_ret_6m,2020-12-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,3,Q3,0.7863117244631413,0.09439745356516181,88
future_ret_6m,2020-12-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,4,Q4,0.8390788346426191,0.08082109877950087,87
future_ret_6m,2020-12-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,5,High,0.9054318331567697,0.0899277633372732,88
future_ret_6m,2021-03-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,1,Low,0.6436620252974365,0.16768405406383224,93
future_ret_6m,2021-03-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,2,Q2,0.7306198003686518,0.09975056378857446,92
future_ret_6m,2021-03-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,3,Q3,0.7893312154762155,0.0927264006880067,93
future_ret_6m,2021-03-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,4,Q4,0.8421711956415937,0.07655952372210079,92
future_ret_6m,2021-03-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,5,High,0.9047366715574968,0.0984334213932784,93
future_ret_6m,2021-06-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,1,Low,0.6168372382085165,0.06502259931749345,104
future_ret_6m,2021-06-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,2,Q2,0.6924328045031826,0.013221741634228835,104
future_ret_6m,2021-06-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,3,Q3,0.7525162240684686,-0.011102036780364184,103
future_ret_6m,2021-06-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,4,Q4,0.8063393106282549,-0.04256112797010358,104
future_ret_6m,2021-06-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,5,High,0.8712535795075588,-0.017265035933918232,104
future_ret_6m,2021-09-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,1,Low,0.6369477994819196,-0.16802029701636648,114
future_ret_6m,2021-09-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,2,Q2,0.723470849103736,-0.13604881343523073,113
future_ret_6m,2021-09-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,3,Q3,0.7763356633752933,-0.1355027153094975,114
future_ret_6m,2021-09-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,4,Q4,0.8299510334023734,-0.14623894985957436,113
future_ret_6m,2021-09-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,5,High,0.8978865908206284,-0.15387199018130113,114
future_ret_6m,2021-12-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,1,Low,0.6417601575175493,-0.10135983228412283,121
future_ret_6m,2021-12-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,2,Q2,0.7352931229486335,-0.09689624152371552,120
future_ret_6m,2021-12-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,3,Q3,0.7904477660206427,-0.10416603422162109,120
future_ret_6m,2021-12-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,4,Q4,0.84150635733237,-0.10053586471444091,120
future_ret_6m,2021-12-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,5,High,0.904657111715683,-0.1042536941634352,121
future_ret_6m,2022-03-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,1,Low,0.6515954673731377,-0.06696867270374061,133
future_ret_6m,2022-03-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,2,Q2,0.7274993216796465,-0.044204196220624346,133
future_ret_6m,2022-03-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,3,Q3,0.7774829430324606,-0.038825916423980374,132
future_ret_6m,2022-03-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,4,Q4,0.8286515818526846,-0.0457221131253326,133
future_ret_6m,2022-03-31 00:00:00,FAC_rank_vol_m6_n3_pairwise1,5,High,0.8897831935693675,-0.05315600029081959,133
future_ret_6m,2022-06-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,1,Low,0.645554507605611,-0.1141192219174727,155
future_ret_6m,2022-06-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,2,Q2,0.7258516109922893,-0.12255017654303205,154
future_ret_6m,2022-06-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,3,Q3,0.7826134172347646,-0.1272313944723809,154
future_ret_6m,2022-06-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,4,Q4,0.8296501259335147,-0.12324388928821516,154
future_ret_6m,2022-06-30 00:00:00,FAC_rank_vol_m6_n3_pairwise1,5,High,0.8928919937216179,-0.12614721802613393,154
future_ret_6m,2006-09-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.6659614886441693,,1
future_ret_6m,2006-09-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.7088138879481856,,1
future_ret_6m,2006-09-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8264944765528582,,1
future_ret_6m,2006-09-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.86627661220099,,1
future_ret_6m,2006-09-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.8996675571477298,,1
future_ret_6m,2006-12-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.677293576309217,,1
future_ret_6m,2006-12-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.7384023264981948,,1
future_ret_6m,2006-12-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.7977501591833625,,1
future_ret_6m,2006-12-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.8799305756378142,,1
future_ret_6m,2006-12-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9087909020451201,,1
future_ret_6m,2007-03-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.7706386658264195,,2
future_ret_6m,2007-03-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.7943706593990891,,1
future_ret_6m,2007-03-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8191169607472586,,1
future_ret_6m,2007-03-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.8345546607369472,,1
future_ret_6m,2007-03-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.8801603289710778,,2
future_ret_6m,2007-06-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.745007644243893,,1
future_ret_6m,2007-06-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.8144045744986437,,1
future_ret_6m,2007-06-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8374371856336671,,1
future_ret_6m,2007-06-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.8423280381256634,,1
future_ret_6m,2007-06-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9006270478949177,,1
future_ret_6m,2007-12-28 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.7601661558707717,,3
future_ret_6m,2007-12-28 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.8422407455880836,,2
future_ret_6m,2007-12-28 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8912208790045499,,2
future_ret_6m,2007-12-28 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.9011923004419902,,2
