factor,row_variable,col_variable,mean_corr,p_value,stars,n_months
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,Ctrl_log_fund_size,0.04351071929117582,7.63318000833352e-05,***,153
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,Ctrl_fund_age,-0.09842201004798351,1.0337033869650222e-21,***,153
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,FAC__x__RANK_MEAN,-0.0929895075786583,3.0384620398278814e-05,***,153
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,FAC_rank_vol_m6_n3_pairwise1,-0.03426775301094569,3.103194322603246e-05,***,153
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,CtrlRetSTR,-0.003203619092371061,0.6764142392720638,,153
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,CtrlRetLTM,-0.024249300892768638,0.000636065303457068,***,153
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,CtrlVol,-0.004627693414248004,0.48374360722324683,,153
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,as_偏股混合型基金,1.0,,,153
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,Ctrl_log_fund_size,0.052776940402365025,6.345883598745113e-10,***,153
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,Ctrl_fund_age,0.26370964634985133,2.768205216088922e-25,***,153
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,FAC__x__RANK_MEAN,-0.08919028199292973,8.55324668510855e-16,***,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,FAC_rank_vol_m6_n3_pairwise1,7.149326145370309e-05,0.992453635355922,,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,CtrlRetSTR,-0.03206244620467148,0.008687470474219314,***,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,CtrlRetLTM,0.07739323350811424,2.6590773392617296e-11,***,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,CtrlVol,0.04351071929117582,7.63318000833352e-05,***,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,as_偏股混合型基金,0.052776940402365025,6.345883598745113e-10,***,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,Ctrl_log_fund_size,1.0,,,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,Ctrl_fund_age,0.33316792794269384,2.2602072250112026e-51,***,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,FAC__x__RANK_MEAN,0.015774592129761383,0.13344099410472754,,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,FAC_rank_vol_m6_n3_pairwise1,0.016370451818244022,0.04800398835218439,**,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,CtrlRetSTR,-0.018711364154529155,0.030170655985593955,**,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,CtrlRetLTM,-0.06268981465051993,5.4676781981363164e-11,***,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,CtrlVol,-0.09842201004798351,1.0337033869650222e-21,***,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,as_偏股混合型基金,0.26370964634985133,2.768205216088922e-25,***,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,Ctrl_log_fund_size,0.33316792794269384,2.2602072250112026e-51,***,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,Ctrl_fund_age,1.0,,,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,FAC__x__RANK_MEAN,-0.02351930336846032,0.00280524424624736,***,153
FAC_rank_vol_m6_n3_pairwise1,FAC__x__RANK_MEAN,FAC_rank_vol_m6_n3_pairwise1,0.2862627900001088,3.5566920925469255e-71,***,153
FAC_rank_vol_m6_n3_pairwise1,FAC__x__RANK_MEAN,CtrlRetSTR,0.16521204892586824,2.8218287818610135e-14,***,153
FAC_rank_vol_m6_n3_pairwise1,FAC__x__RANK_MEAN,CtrlRetLTM,0.6930405186046485,1.4429734221442847e-120,***,153
FAC_rank_vol_m6_n3_pairwise1,FAC__x__RANK_MEAN,CtrlVol,-0.0929895075786583,3.0384620398278814e-05,***,153
FAC_rank_vol_m6_n3_pairwise1,FAC__x__RANK_MEAN,as_偏股混合型基金,-0.08919028199292973,8.55324668510855e-16,***,153
FAC_rank_vol_m6_n3_pairwise1,FAC__x__RANK_MEAN,Ctrl_log_fund_size,0.015774592129761383,0.13344099410472754,,153
FAC_rank_vol_m6_n3_pairwise1,FAC__x__RANK_MEAN,Ctrl_fund_age,-0.02351930336846032,0.00280524424624736,***,153
FAC_rank_vol_m6_n3_pairwise1,FAC__x__RANK_MEAN,FAC__x__RANK_MEAN,1.0,,,153
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,1.0,,,145
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,0.001368867326184481,0.9066392786007607,,145
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,-0.002394996662112299,0.8150019222449854,,145
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,CtrlVol,-0.19552554490287632,3.751621191712232e-30,***,145
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,-0.01995352888041975,0.06587961390339658,*,144
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,-0.00960938180635861,0.2784793394563836,,145
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,0.025779744696323003,0.008179337107369511,***,145
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,FAC__x__RANK_MEAN,0.2072496945040746,5.680703515585836e-51,***,145
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,FAC_rank_vol_m6_n6_pairwise1,0.001368867326184481,0.9066392786007607,,145
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,CtrlRetSTR,1.0,,,145
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,0.040477179613555375,0.0806973634189785,*,145
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,CtrlVol,-0.01469402562539686,0.5902053632054993,,145
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,as_偏股混合型基金,-0.006995367222289029,0.3575857251653597,,144
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,Ctrl_log_fund_size,-0.028770814380940472,0.023022887275061493,**,145
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,Ctrl_fund_age,-0.016963897339945782,0.05199637560703794,*,145
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,FAC__x__RANK_MEAN,0.12302712374699197,1.0225233261781215e-08,***,145
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,FAC_rank_vol_m6_n6_pairwise1,-0.002394996662112299,0.8150019222449854,,145
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,CtrlRetSTR,0.040477179613555375,0.0806973634189785,*,145
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,CtrlRetLTM,1.0,,,145
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,CtrlVol,0.051819511505669644,0.0624935067709633,*,145
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,as_偏股混合型基金,-0.018190776945904777,0.01733491191786483,**,144
