factor,month_date,n_obs,r_squared,adj_r_squared,const,FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,CtrlVol,as_偏股混合型基金,Ctrl_log_fund_size,Ctrl_fund_age,FAC__x__RANK_MEAN,FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m12_n6_pairwise1
FAC_rank_vol_m3_n6_pairwise1,2010-08-31,55,0.14785730004198283,-0.0003414303854984979,0.20332696060935407,-0.0754345074208429,-0.20752351839688327,0.1894909471513282,-1.5587549146097575,-0.05575932031824102,0.007492111419457973,-0.0003681044302434384,-0.03611123523645355,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-09-30,60,0.19473481226353617,0.06841870438330655,-0.3286427144346053,0.13764899339873574,-0.946974329060495,-0.1498834965248813,0.229342372628738,-0.03331637743962434,0.013665467041947774,-0.0004086398427299795,0.017992925152242545,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-10-29,56,0.23220886168964017,0.10152100836021727,-0.2198000588560933,0.024371296356107307,0.43739843220517627,-0.24708772587111322,-2.741892450278304,0.01568894188079268,0.012233388824479566,-0.0007178242792764194,0.07635115314994112,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-11-30,59,0.33710749558409714,0.23104469487755264,-0.35978663306332637,0.058733183484467474,-0.6889647761242508,-0.365524189752936,-0.7548294299194362,-0.051111323921942384,0.012842016994261019,-0.00041792971017045184,0.1139354690974467,,,,
FAC_rank_vol_m3_n6_pairwise1,2010-12-31,61,0.3487763417287578,0.24858808661010512,-0.39737950834734587,-0.03653372774879719,0.6058698235922743,-0.33013313190370397,-1.4533739011450415,0.04926772359662011,0.018197228182243952,-0.00046353090428803885,0.07399883241898611,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-01-31,60,0.14359290527321977,0.009254537472940583,-0.09764501821534234,-0.045001311090082666,-0.20935263006280905,0.06373376495381056,0.2023956290940337,-0.06482477515377116,0.007031357701759791,-4.564361520725796e-05,-0.0035398368232113188,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-02-28,63,0.17745284574941866,0.0555940080826659,-0.06907048596242288,0.04002374163780095,-0.8195648689314377,0.06822030290757024,0.13414108689382356,-0.04107648750788185,0.0003406378390082661,0.00013357415415325434,0.011300187140522059,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-03-31,63,0.2152633569395228,0.09900607648611881,0.07243378831890884,-0.11127515309472696,-0.030163316188710584,0.11186697141937851,-1.1864137879127037,-0.05803952405254511,-0.0008823306303175965,0.00030744143512656785,-0.009463772090975313,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-04-29,64,0.2912163639548234,0.18812056234825225,0.05170945272300295,0.03527723210799968,0.8547280786481735,0.12478432536648172,-1.2115483643032325,-0.08473510428989238,-0.0004374612002287079,-6.898707422941757e-06,-0.03683751609822949,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-05-31,68,0.2911135521309096,0.19499335580967703,0.12973184111281108,0.08167254311650442,0.8496253320953063,0.2580877499422739,-1.3033535372280474,-0.11903893887178839,-0.0002008448936402926,-0.00015975558843064796,-0.14373576062890955,,,,
FAC_rank_vol_m3_n6_pairwise1,2011-06-30,69,0.3313502585899195,0.24219695973524213,0.015503759599453736,0.07560556152850573,-0.5644471367847395,0.05169145920475076,-2.295893954056495,-0.09200261572895678,-6.759932536786632e-05,0.00013981431088551784,-0.06481155429081355,,,,
