factor,variable,FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,CtrlVol,as_偏股混合型基金,Ctrl_log_fund_size,Ctrl_fund_age,FAC__x__RANK_MEAN,FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m12_n6_pairwise1
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,,-0.006921632378876438,-0.01809206422177676,-0.0021643094378674,1.0,0.24286735535428491,0.28313333840866384,-0.0735286850781593,,-0.019896245343881538,,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,,0.03865342462915019,0.12505296996223925,-0.08039496161259795,0.24286735535428491,1.0,0.7450640491356048,0.11242301001096204,,0.018355277925303358,,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,,-0.01706647439637487,-0.057127507609473126,-0.09848202288062946,0.28313333840866384,0.7450640491356048,1.0,-0.037873944917148405,,0.026056724209957405,,
FAC_rank_vol_m6_n6_pairwise1,FAC__x__RANK_MEAN,,0.1232941881895849,0.8249713312678201,-0.04279024343521011,-0.0735286850781593,0.11242301001096204,-0.037873944917148405,1.0,,0.2071591919540436,,
FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m6_n12_pairwise1,,-0.018503528458901266,0.0377467768459982,-0.11199344168258987,-0.024643489611971377,0.010063703631725918,0.01642443715387021,0.1291697073083825,,,1.0,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,,1.0,0.04783023298615432,-0.005699431553154914,-0.000683179984525104,0.038580353030665565,-0.009948006441703757,0.08571105988292188,,,-0.018503528458901266,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,,0.04783023298615432,1.0,0.12025165314419539,0.006230356111412349,0.09523566305586201,-0.06262183081424352,0.862483446790795,,,0.0377467768459982,
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,,-0.005699431553154914,0.12025165314419539,1.0,-0.010814513740781474,-0.07809562529816619,-0.09376558614822718,0.09938458563802796,,,-0.11199344168258987,
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,,-0.000683179984525104,0.006230356111412349,-0.010814513740781474,1.0,0.34032497349655133,0.37769466560613146,-0.061116337556213374,,,-0.024643489611971377,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,,0.038580353030665565,0.09523566305586201,-0.07809562529816619,0.34032497349655133,1.0,0.7481125084892218,0.0915023107085013,,,0.010063703631725918,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,,-0.009948006441703757,-0.06262183081424352,-0.09376558614822718,0.37769466560613146,0.7481125084892218,1.0,-0.08361366460711055,,,0.01642443715387021,
FAC_rank_vol_m6_n12_pairwise1,FAC__x__RANK_MEAN,,0.08571105988292188,0.862483446790795,0.09938458563802796,-0.061116337556213374,0.0915023107085013,-0.08361366460711055,1.0,,,0.1291697073083825,
FAC_rank_vol_m12_n6_pairwise1,FAC_rank_vol_m12_n6_pairwise1,,0.00302096883404601,-0.005597569795072146,-0.2409648288055463,-0.024533562395685226,0.01792949378615057,0.04737934303816035,0.22572656346843645,,,,1.0
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,,1.0,0.04783023298615432,-0.005699431553154914,-0.000683179984525104,0.038580353030665565,-0.009948006441703757,0.08717139314445299,,,,0.00302096883404601
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,,0.04783023298615432,1.0,0.12025165314419539,0.006230356111412349,0.09523566305586201,-0.06262183081424352,0.8269404139913813,,,,-0.005597569795072146
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,,-0.005699431553154914,0.12025165314419539,1.0,-0.010814513740781474,-0.07809562529816619,-0.09376558614822718,0.03733874823661954,,,,-0.2409648288055463
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,,-0.000683179984525104,0.006230356111412349,-0.010814513740781474,1.0,0.34032497349655133,0.37769466560613146,-0.054232416854159304,,,,-0.024533562395685226
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,,0.038580353030665565,0.09523566305586201,-0.07809562529816619,0.34032497349655133,1.0,0.7481125084892218,0.10174879615039982,,,,0.01792949378615057
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,,-0.009948006441703757,-0.06262183081424352,-0.09376558614822718,0.37769466560613146,0.7481125084892218,1.0,-0.06158769528403616,,,,0.04737934303816035
FAC_rank_vol_m12_n6_pairwise1,FAC__x__RANK_MEAN,,0.08717139314445299,0.8269404139913813,0.03733874823661954,-0.054232416854159304,0.10174879615039982,-0.06158769528403616,1.0,,,,0.22572656346843645
