ret_col,date,sort_col,economic_group,group_label,sort_mean,portfolio_ret,n_funds
future_ret_6m,2011-06-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,1,Low,0.1335920632058604,-0.1773911953824136,14
future_ret_6m,2011-06-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,2,Q2,0.2845745346189828,-0.18021529943342424,14
future_ret_6m,2011-06-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,3,Q3,0.41512221729198223,-0.17340451754403635,13
future_ret_6m,2011-06-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,4,Q4,0.6100817695780719,-0.19027561635111084,14
future_ret_6m,2011-06-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,5,High,0.849051144878037,-0.17632068473631193,14
future_ret_6m,2011-09-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,1,Low,0.142202451610225,-0.07966709873645471,16
future_ret_6m,2011-09-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,2,Q2,0.30761767570099274,-0.06268871813331116,15
future_ret_6m,2011-09-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,3,Q3,0.4417559171497127,-0.06209391443228218,15
future_ret_6m,2011-09-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,4,Q4,0.5826999768161544,-0.06499191587024636,15
future_ret_6m,2011-09-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,5,High,0.8451761037575213,-0.05459187580691902,15
future_ret_6m,2011-12-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,1,Low,0.13539607167207812,0.049689927902935103,16
future_ret_6m,2011-12-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,2,Q2,0.29407712602791614,0.032117957240351415,16
future_ret_6m,2011-12-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,3,Q3,0.41889143360915937,0.04732938399218723,15
future_ret_6m,2011-12-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,4,Q4,0.5999433296598764,0.04695474618678279,16
future_ret_6m,2011-12-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,5,High,0.8409323955293243,0.05198665629291914,16
future_ret_6m,2012-03-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,1,Low,0.12161694235054143,0.01619207763837526,17
future_ret_6m,2012-03-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,2,Q2,0.289454446220728,0.010836184321345053,16
future_ret_6m,2012-03-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,3,Q3,0.4564126055974844,0.00734334303872939,16
future_ret_6m,2012-03-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,4,Q4,0.6572435857859764,-0.0015253899990419692,16
future_ret_6m,2012-03-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,5,High,0.864630227173862,-0.009217507746742716,16
future_ret_6m,2012-06-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,1,Low,0.14868557018160838,-0.005155972640892399,18
future_ret_6m,2012-06-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,2,Q2,0.2883655159920552,-0.008119049737924397,18
future_ret_6m,2012-06-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,3,Q3,0.39921110291979195,0.017553323404002768,17
future_ret_6m,2012-06-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,4,Q4,0.5437455871490048,0.014060992397997567,18
future_ret_6m,2012-06-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,5,High,0.7620976902626455,0.022571723882363535,18
future_ret_6m,2012-09-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,1,Low,0.11352348133917792,0.07916712591613011,21
future_ret_6m,2012-09-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,2,Q2,0.29070890274281375,0.10897628123758374,21
future_ret_6m,2012-09-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,3,Q3,0.46646190776506413,0.11621267192787432,20
future_ret_6m,2012-09-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,4,Q4,0.6389566558583769,0.11067328839293532,21
future_ret_6m,2012-09-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,5,High,0.8764721063488268,0.12418266288281202,21
future_ret_6m,2012-12-31,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,1,Low,0.14238464549194066,0.0011157665296431067,24
future_ret_6m,2012-12-31,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,2,Q2,0.2824235148255029,0.030501052208939693,23
future_ret_6m,2012-12-31,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,3,Q3,0.40512023180711143,0.04851130343780944,24
future_ret_6m,2012-12-31,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,4,Q4,0.5608061306343539,0.06546848158060262,23
future_ret_6m,2012-12-31,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,5,High,0.7735773170127023,0.1368143024091649,24
future_ret_6m,2013-03-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,1,Low,0.14328824508682264,0.11145549137067523,25
future_ret_6m,2013-03-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,2,Q2,0.2681599961475739,0.14361920199653,25
future_ret_6m,2013-03-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,3,Q3,0.4120749833767346,0.11421620210378618,24
future_ret_6m,2013-03-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,4,Q4,0.580361097542293,0.14555524335865444,25
future_ret_6m,2013-03-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,5,High,0.8224771459216506,0.17119560076154353,25
future_ret_6m,2013-06-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,1,Low,0.13429431846764855,0.07063379537295938,25
future_ret_6m,2013-06-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,2,Q2,0.2945626421287016,0.09428619514846222,25
future_ret_6m,2013-06-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,3,Q3,0.3943976755798085,0.11465890033577253,25
future_ret_6m,2013-06-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,4,Q4,0.5848564696844754,0.10713331238852451,25
future_ret_6m,2013-06-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,5,High,0.8582309313310935,0.13021103549242724,25
future_ret_6m,2013-09-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,1,Low,0.10834574274707026,-0.07508372801245529,27
future_ret_6m,2013-09-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,2,Q2,0.2897983747512239,-0.06450408263837115,27
