estimate_date,forward_start,forward_end,year,valid_fund_count,growth_group_count,value_group_count,dominant_style,growth_style_return,value_style_return,growth_group_return,value_group_return,correct_group,wrong_group,correct_group_return,wrong_group_return,return_diff,benchmark_5050_return,benchmark_minus_wrong
2016-08-05,2016-08-12,2016-09-02,2016,240,80,80,价值,0.027999107717988636,0.03394511360285013,0.01667946372046309,0.014986686370537372,价值偏向组,成长偏向组,0.014986686370537372,0.01667946372046309,-0.001692777349925718,0.03099866408253593,0.014319200362072841
2016-09-02,2016-09-09,2016-10-14,2016,306,102,102,成长,0.031349514242844156,0.02769058206228503,0.04470026385478361,0.03907610307479103,成长偏向组,价值偏向组,0.04470026385478361,0.03907610307479103,0.0056241607799925805,0.004647309822496393,-0.034428793252294636
2016-10-14,2016-10-21,2016-11-11,2016,295,98,98,价值,0.01994931507513087,0.03405459055202642,0.00867246801352911,0.01505267011242433,价值偏向组,成长偏向组,0.01505267011242433,0.00867246801352911,0.00638020209889522,0.027073576259636134,0.018401108246107023
2016-11-11,2016-11-18,2016-12-09,2016,314,104,104,价值,-0.0024466720509289663,0.03212440329075705,-0.019265402936851136,-0.003337862986793643,价值偏向组,成长偏向组,-0.003337862986793643,-0.019265402936851136,0.015927539950057492,0.015133092729574082,0.03439849566642522
2016-12-09,2016-12-16,2017-01-06,2017,310,103,103,价值,-0.04797952137159178,-0.03784425727601115,-0.02753463653390943,-0.02352952634778884,价值偏向组,成长偏向组,-0.02352952634778884,-0.02753463653390943,0.004005110186120587,-0.042902353838702445,-0.015367717304793017
2017-01-06,2017-01-13,2017-02-10,2017,325,108,108,价值,-0.011725016255433984,0.01272006827958827,-0.021235364769707287,-0.008980066586178719,价值偏向组,成长偏向组,-0.008980066586178719,-0.021235364769707287,0.012255298183528569,0.011603461278912208,0.0328388260486195
2017-02-10,2017-02-17,2017-03-10,2017,289,96,96,成长,0.015408463493002955,0.0010046981257552101,0.022446830360994725,0.020351662104237306,成长偏向组,价值偏向组,0.022446830360994725,0.020351662104237306,0.002095168256757419,0.008077047403750592,-0.012274614700486713
2017-03-10,2017-03-17,2017-04-07,2017,213,71,71,价值,0.016365298157205777,0.026626352391531993,0.024786909753425193,0.02986433992997355,价值偏向组,成长偏向组,0.02986433992997355,0.024786909753425193,0.005077430176548357,0.02155146163410282,-0.0032354481193223733
2017-04-07,2017-04-14,2017-05-05,2017,242,80,80,价值,-0.04779739697894003,-0.04240288217826438,-0.05394230234486439,-0.03648338506903699,价值偏向组,成长偏向组,-0.03648338506903699,-0.05394230234486439,0.0174589172758274,-0.045057345219402856,0.008884957125461536
2017-05-05,2017-05-12,2017-06-02,2017,162,54,54,价值,-0.01176173301784933,0.03196189424271689,-0.029539469362239286,-0.004470988286860783,价值偏向组,成长偏向组,-0.004470988286860783,-0.029539469362239286,0.025068481075378502,0.010508671148844684,0.04004814051108397
2017-06-02,2017-06-09,2017-06-30,2017,110,36,36,成长,0.05918056879260081,0.051423964285588486,0.05961481483839148,0.05775220427242595,成长偏向组,价值偏向组,0.05961481483839148,0.05775220427242595,0.001862610565965532,0.05510723869164669,-0.002644965580779264
2017-06-30,2017-07-07,2017-07-28,2017,73,24,24,价值,-0.007559426849133244,0.02424850236240017,0.003395160719545436,0.01812127005266913,价值偏向组,成长偏向组,0.01812127005266913,0.003395160719545436,0.014726109333123695,0.00834453775663313,0.004949377037087694
2017-07-28,2017-08-04,2017-08-25,2017,55,18,18,成长,0.02210652015804082,0.015220095560819047,0.008971671850088661,0.013071707023170256,成长偏向组,价值偏向组,0.008971671850088661,0.013071707023170256,-0.004100035173081594,0.018609000304346868,0.005537293281176612
2017-08-25,2017-09-01,2017-09-22,2017,52,17,17,成长,0.03623242407706084,0.0032299200731642497,0.028109362499823785,0.011437404859659743,成长偏向组,价值偏向组,0.028109362499823785,0.011437404859659743,0.01667195764016404,0.01952667396679253,0.008089269107132787
2017-09-22,2017-09-29,2017-10-27,2017,54,18,18,价值,0.022788381011152214,0.033723121170198045,0.05288433527886814,0.04213587375542043,价值偏向组,成长偏向组,0.04213587375542043,0.05288433527886814,-0.01074846152344771,0.028235030640846537,-0.024649304638021605
2017-10-27,2017-11-03,2017-11-24,2017,49,16,16,价值,-0.010678739600250231,0.0243942579096581,-0.01579031002559419,0.007023681467710173,价值偏向组,成长偏向组,0.007023681467710173,-0.01579031002559419,0.02281399149330436,0.0068845430491049076,0.022674853074699096
2017-11-24,2017-12-01,2017-12-22,2017,70,23,23,价值,-0.016539498541846442,-0.014539298391325839,0.004747591296299995,0.0016000494361514308,价值偏向组,成长偏向组,0.0016000494361514308,0.004747591296299995,-0.0031475418601485637,-0.015520452695132247,-0.02026804399143224
