fund_code,selected_count,correct_count,wrong_count,avg_forward_return,avg_excess_vs_5050,win_rate_vs_5050,correct_rate,mean_net_exposure,exposure_vol,mean_abs_net_exposure,exposure_p10,exposure_p90,exposure_range_p90_p10,is_stable_selected,is_stable_outperform,is_stable,is_dynamic_style
2692,12,8,4,0.043465091763507956,0.029939497115375347,0.75,0.6666666666666666,0.9561329243921165,0.033737292406652415,0.9561329243921165,0.9063899895614225,0.9987173669627492,0.09232737740132668,False,True,False,False
5826,12,8,4,0.018072331021758214,0.007350124126377773,0.5833333333333334,0.6666666666666666,0.7689062747384257,0.2744451203529482,0.7696256377763624,0.32533414935300925,0.9697689223428182,0.644434772989809,False,True,False,False
6675,13,8,5,-0.003317335913296492,-0.013279828598501008,0.3076923076923077,0.6153846153846154,-0.3169384735315586,0.14909108557808862,0.3169384735315586,-0.40239829417277106,-0.08281741073204285,0.3195808834407282,False,False,False,False
6676,13,8,5,-0.0039848431624846655,-0.013947335847689181,0.3076923076923077,0.6153846153846154,-0.319382729772719,0.14723496611364822,0.319382729772719,-0.40709565137645776,-0.08837956817512556,0.3187160832013322,False,False,False,False
6671,13,8,5,-0.019030849981330516,-0.016201336232816603,0.3076923076923077,0.6153846153846154,0.713316268259346,0.3965231964124612,0.7133162682593459,0.07023524837722367,1.0,0.9297647516227763,False,False,False,False
127,15,8,7,0.030214928640267483,0.008325733913074732,0.6,0.5333333333333333,0.7668365584160423,0.26664209516513065,0.7668365584160423,0.35669227009457377,1.0,0.6433077299054262,False,False,False,False
5096,15,8,7,0.020903737335073145,-0.0003251648651530233,0.3333333333333333,0.5333333333333333,0.3852226030390101,0.19826305890499402,0.3852226030390101,0.18600171993452397,0.7076992131425976,0.5216974932080737,False,False,False,False
1547,16,8,8,0.0033755055125677252,0.012561297046515346,0.5625,0.5,0.013139630287023776,0.033919200182488785,0.028125698155841043,-0.02400129114270122,0.055824247450801806,0.07982553859350303,False,False,False,False
960,17,8,9,0.013956017216028786,0.010489255815209386,0.47058823529411764,0.47058823529411764,0.9588815464878703,0.04749311232512685,0.95888154648787,0.8863450782853545,1.0,0.11365492171464553,False,False,False,False
2387,17,8,9,0.0060983951698046395,-0.0035012089047769895,0.5882352941176471,0.47058823529411764,-0.5091133035725814,0.5873373558350843,0.6742544382042572,-1.0,0.2228401431160554,1.2228401431160554,False,False,False,False
1825,18,8,10,0.01093046714955203,0.007641667211074393,0.3888888888888889,0.4444444444444444,0.5773803081937475,0.2468028277545183,0.5773803081937475,0.28800681272002693,0.9037909551068091,0.6157841423867821,False,False,False,False
66,19,8,11,0.031880152928136306,0.014081813036777626,0.6842105263157895,0.42105263157894735,0.3884776346443362,0.31137864114815733,0.3967153276916303,0.06976425609313047,0.8668054074748186,0.7970411513816882,False,False,False,False
4868,21,8,13,0.012366679576767589,0.004170761564364752,0.5238095238095238,0.38095238095238093,0.5256470583692066,0.5429347228340845,0.7122264497513635,-0.374691789666834,0.9579812234232329,1.3326730130900668,False,False,False,False
646,23,8,15,0.01691592001037942,0.00016070995461626568,0.5652173913043478,0.34782608695652173,0.24543734074645976,0.6924858998260527,0.6383694961417501,-0.7788477370226862,1.0,1.7788477370226863,False,False,False,False
3416,24,8,16,0.015239390260021565,0.001618988539176261,0.5,0.3333333333333333,0.2869970128036202,0.4144214522637816,0.36767489668194153,-0.15973547578381547,0.8701478061047592,1.0298832818885746,False,False,False,False
5104,26,8,18,0.022410026181086725,0.010019729329526623,0.5769230769230769,0.3076923076923077,0.4048793959968503,0.5107028983461046,0.535902299669712,-0.27763642279200457,1.0,1.2776364227920045,True,False,True,False
761,28,8,20,0.011715232781756794,-0.0025952583764413473,0.5357142857142857,0.2857142857142857,0.5141397391551824,0.40474332137847524,0.5515950053598925,-0.08572992320291171,1.0,1.0857299232029116,True,False,True,False
4720,30,8,22,0.008357454251215016,-0.009140979936949364,0.4666666666666667,0.26666666666666666,0.018387456393429737,0.06784228763014825,0.058577826831621355,-0.06203554436002013,0.07187195689344009,0.1339075012534602,True,False,True,False
4721,30,8,22,0.008112965171104805,-0.009385469017059575,0.4666666666666667,0.26666666666666666,0.017057653472482916,0.066567435308822,0.05661644397918828,-0.06037646306973679,0.06837900178466566,0.12875546485440245,True,False,True,False
1558,9,7,2,0.008812329584316955,0.009007635568517889,0.4444444444444444,0.7777777777777778,0.3785263733046966,0.3993961390728144,0.4739860502309196,-0.20839466854648647,0.6983697083719835,0.90676437691847,False,False,False,False
1559,9,7,2,0.008583038441363445,0.00877834442556438,0.4444444444444444,0.7777777777777778,0.37782694933462174,0.39966179022319853,0.47343379879666025,-0.2090323443036744,0.6964951205985694,0.9055274649022438,False,False,False,False
4225,10,7,3,0.007052586440292397,0.008235019129497567,0.5,0.7,0.10628704708349405,0.054382533490525006,0.10628704708349405,0.0232312072111989,0.16505359428781743,0.14182238707661854,False,True,False,False
4226,10,7,3,0.006962922343924649,0.00814535503312982,0.5,0.7,0.10643878884264568,0.054359251897120715,0.10643878884264565,0.023460196499071752,0.1650249450935038,0.14156474859443205,False,True,False,False
4374,12,7,5,0.016324277597851256,0.0038806077067134828,0.4166666666666667,0.5833333333333334,0.42611704668190326,0.5122529819805893,0.5176416531710134,-0.15817526170507265,0.9980856276546722,1.1562608893597448,False,False,False,False
4375,12,7,5,0.016131657856914994,0.003687987965777221,0.4166666666666667,0.5833333333333334,0.42431463278748704,0.5139032804816767,0.5183545025576622,-0.16282907470256333,0.9979971077116143,1.1608261824141777,False,False,False,False
5955,12,7,5,0.004784326363032156,-0.008473176808743535,0.3333333333333333,0.5833333333333334,-0.040247060922622466,0.22194557324137032,0.17424383548525357,-0.17011544991568053,0.25688057446374357,0.4269960243794241,False,False,False,False
5956,12,7,5,0.004318917244522241,-0.008938585927253448,0.3333333333333333,0.5833333333333334,-0.04134115788145978,0.21882762480610501,0.17310777124580598,-0.16893956686770606,0.2516865095641499,0.42062607643185596,False,False,False,False
5029,12,7,5,-0.01893093007132632,-0.014326322220323632,0.4166666666666667,0.5833333333333334,0.9495124909544684,0.054336615784714,0.9495124909544684,0.8602264623882624,1.0,0.1397735376117376,False,False,False,False
5095,13,7,6,0.0247579776487512,-8.435138294444926e-05,0.3076923076923077,0.5384615384615384,0.38818158517102097,0.19774072546703833,0.38818158517102097,0.19217863409363908,0.7175807454062767,0.5254021113126376,False,False,False,False
5041,13,7,6,0.00541098170696595,-0.007311013486838346,0.46153846153846156,0.5384615384615384,0.5446359363799843,0.18208529415959576,0.5446359363799842,0.3577028551569139,0.8686255794952672,0.5109227243383533,False,False,False,False
5042,13,7,6,0.005001110115265734,-0.007720885078538562,0.46153846153846156,0.5384615384615384,0.5441388265551588,0.18141038146737076,0.5441388265551588,0.3573586433172579,0.8682804236864105,0.5109217803691526,False,False,False,False
2923,14,7,7,0.0031630349898845484,0.013214243561301242,0.5714285714285714,0.5,0.013345027154731643,0.03532080199560149,0.028482179369350588,-0.025592877885337803,0.057551163188570946,0.08314404107390874,False,False,False,False
639,14,7,7,0.0021877441050730767,-0.004516257218073162,0.42857142857142855,0.5,-0.039391677363182935,0.02257781970646419,0.039391677363182935,-0.06749501000369051,-0.01911025030276423,0.04838475970092629,False,False,False,False
